,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,GU,PR,VI
23,1.013544403,0.855292179,0.81482062,0.605092303,1.490481385,0.47353929,1.571040083,0.756052788,1.123080718,0.472621964,0.796635346,0.750229165,0.824820708,0.350037712,1.160957366,0.912890635,0.792585507,0.703238496,0.762914347,0.730022926,1.041453307,0.97694305,0.799996073,0.654403556,0.783712419,0.914697077,0.439265986,0.755277141,0.589864787,0.71877772,0.994287886,1.08751209,1.048052824,0.373616817,1.117315909,0.938712063,0.85342216,1.512305252,0.83704235,1.065401359,0.78548639,0.584665097,0.56689087,0.532903721,0.443066269,0.899296566,0.815785581,1.413704491,0.795323348,1.00491083,0.870369782,0,0,0
24,1.087916478,0.927136147,0.884421251,0.770700754,1.600006238,0.676971853,1.642591623,0.849270083,1.212498936,0.686604029,0.86820198,0.917783894,0.893111383,0.548558709,1.248464094,0.978693347,0.859593792,0.778378375,0.832722048,0.826742011,1.130490808,1.073274982,0.887441416,0.744347713,0.852383988,0.984239234,0.627384344,0.827229521,0.660389889,0.786997315,1.074092875,1.184257086,1.127752847,0.564672969,1.213669956,1.00251616,0.920720512,1.675573903,0.920676327,1.165716652,0.859077058,0.658016896,0.641078215,0.608712227,0.612599689,0.996744616,0.899921352,1.543035422,0.881762688,1.070790988,0.968331524,0,0,0
25,1.066418676,0.899874639,0.85416216,0.826854386,1.614919811,0.768817743,1.608034795,0.842213033,1.186950701,0.795853514,0.839801248,0.979057194,0.86688357,0.634767104,1.232971625,0.950008016,0.832286806,0.753062323,0.805743449,0.813979441,1.108023865,1.057030327,0.866943564,0.727058111,0.827136311,0.953306789,0.704851421,0.799027261,0.637717298,0.760729595,1.043814787,1.1751783,1.103246131,0.645296051,1.198528386,0.971922239,0.889580052,1.729676218,0.898003729,1.153365535,0.83148845,0.635094575,0.615760657,0.585038393,0.672692877,0.981596115,0.872521672,1.56517156,0.862097353,1.036940284,0.967613608,0,0,0
26,1.133465316,0.955140618,0.906092807,0.960115248,1.706999107,0.934260867,1.657018768,0.918938685,1.245776203,0.97115464,0.893424867,1.120468389,0.923382095,0.795568025,1.300963959,1.004327158,0.887786667,0.808796742,0.863119019,0.888345784,1.171421847,1.12677867,0.931087293,0.794502322,0.885450071,1.004356092,0.857804779,0.852839913,0.698997977,0.817024928,1.100737636,1.249254721,1.161647719,0.80149044,1.268446051,1.024430408,0.941716855,1.860554043,0.96027374,1.225254212,0.88519231,0.693004973,0.672865234,0.643394152,0.809940562,1.052085639,0.931690451,1.66636748,0.927580993,1.085850789,1.052702663,0,0,0
27,1.15568834,0.964415921,0.913439198,1.042071433,1.748754661,1.043567428,1.663093216,0.954424857,1.259669679,1.096262335,0.902613301,1.209551374,0.933526345,0.904341114,1.325548821,1.012355868,0.897052964,0.819684824,0.874543674,0.920538438,1.191019158,1.15247355,0.952402816,0.819363756,0.896866479,1.010884605,0.957903878,0.862495407,0.713670373,0.827327057,1.115441561,1.281792141,1.175224936,0.904046216,1.29411909,1.031370033,0.949218871,1.934454696,0.979284953,1.252040497,0.894679088,0.705258868,0.68569322,0.657810843,0.896551274,1.079201833,0.947825609,1.71446616,0.948776552,1.090586597,1.089353183,0,0,0
28,1.215043694,1.011960993,0.959984538,1.153635714,1.824806355,1.177985307,1.706398472,1.026211582,1.308614891,1.253273967,0.951267044,1.329686445,0.984190574,1.041083623,1.387508131,1.06146489,0.946986139,0.869367564,0.924079324,0.988801999,1.246351585,1.213433266,1.010981858,0.881552117,0.948537002,1.056749229,1.085801156,0.911714982,0.768766665,0.878900973,1.16706929,1.351901411,1.225290266,1.033826591,1.355058415,1.079507909,0.996065291,2.034822363,1.03490763,1.31328416,0.943874262,0.759210698,0.738233079,0.711956104,1.013155406,1.14205703,0.99995173,1.793766237,1.006176669,1.134815795,1.159944804,0,0,0
29,1.217655836,1.001550642,0.94896534,1.201812112,1.833815454,1.243956422,1.691572238,1.037221517,1.305533116,1.345161364,0.941681749,1.384214949,0.97432305,1.113088582,1.390035047,1.049530972,0.936774609,0.861007099,0.915205598,1.004469769,1.24852546,1.221937306,1.015818216,0.890154677,0.939084431,1.044972509,1.148500886,0.902643549,0.763245392,0.870034305,1.166559506,1.362088099,1.219510233,1.09743558,1.361280372,1.067484726,0.98497837,2.06570444,1.036916199,1.321068495,0.934833342,0.752687692,0.732795298,0.707829035,1.066723486,1.152859697,1.000356388,1.807219909,1.008925037,1.121283394,1.170791292,0,0,0
30,1.1291241,0.902894287,0.849891329,1.150894178,1.750708688,1.207182408,1.583033314,0.956689129,1.204915304,1.339415619,0.844392942,1.341615433,0.879004039,1.084082734,1.300201547,0.953082978,0.841434337,0.764557581,0.818417485,0.923296541,1.154255351,1.133463043,0.927642517,0.804704158,0.844488261,0.945373286,1.109775447,0.806110711,0.672215938,0.775764952,1.070401221,1.278461485,1.121429305,1.059599262,1.270636999,0.970831078,0.886255443,1.995167076,0.944915231,1.230232244,0.838362073,0.661131678,0.64003742,0.61595024,1.021128234,1.066454371,0.904416278,1.724036623,0.918077933,1.020467983,1.088412732,0,0,0
31,1.110630456,0.870729392,0.817573305,1.164037885,1.726852717,1.230046591,1.545669776,0.943147183,1.180996401,1.393128773,0.813709332,1.360360783,0.846540817,1.116749303,1.280281122,0.91967419,0.80919618,0.734376926,0.788401074,0.91788569,1.136466907,1.12190081,0.913497316,0.792913238,0.812970466,0.912570832,1.132701532,0.776188541,0.644027613,0.744044771,1.051682687,1.265364016,1.094279631,1.083148081,1.255172168,0.93700146,0.854406063,1.983406308,0.926776403,1.216580071,0.808499289,0.631731947,0.613983833,0.590473272,1.039496221,1.057056268,0.885748375,1.703095758,0.900973216,0.986537879,1.073939301,0,0,0
32,0.988542847,0.735873136,0.682821836,1.068889993,1.600699059,1.140522748,1.404109136,0.824497412,1.054470089,1.346783929,0.6806806,1.267350481,0.710325332,1.038795541,1.156412598,0.782881471,0.673605743,0.601449485,0.655080265,0.808864701,1.015659721,1.007214329,0.797651441,0.67891365,0.677532165,0.777576418,1.045072316,0.644057,0.511754584,0.608762761,0.930585126,1.147665724,0.965297764,0.995954612,1.135851882,0.799830415,0.719878117,1.857997797,0.806366507,1.098642624,0.676598221,0.499194464,0.485580104,0.462499019,0.949556917,0.944728222,0.764188727,1.572675853,0.781598369,0.850481249,0.953809592,0,0,0
33,1.076063509,0.809931988,0.756832723,1.174851618,1.682301932,1.24991329,1.469011836,0.910017177,1.131984763,1.497841815,0.756259394,1.378410823,0.786080882,1.159281528,1.239142509,0.858063563,0.750286683,0.676950752,0.731760017,0.903893882,1.099822474,1.097418412,0.888164072,0.769751025,0.75425901,0.851102978,1.156994403,0.720432994,0.591746183,0.685340293,1.015039274,1.234541167,1.043673292,1.10780413,1.220627923,0.873940151,0.794603136,1.9344731,0.892008716,1.185068602,0.752971234,0.578135447,0.565803017,0.542944453,1.060470494,1.036631711,0.847921877,1.647487496,0.868731886,0.923386574,1.041938693,0,0,0
34,1.096154228,0.811774986,0.758698693,1.210693156,1.685015747,1.285289658,1.46877369,0.926380334,1.1546182,1.575247217,0.759366618,1.414469273,0.782719357,1.207654103,1.254030577,0.853886432,0.747826419,0.680056116,0.735802977,0.941430139,1.127221874,1.131636346,0.918603582,0.799891242,0.751880352,0.852713477,1.196857069,0.724271117,0.592591914,0.682669984,1.043268295,1.254924031,1.057628647,1.147070567,1.247328903,0.868634818,0.796806995,1.93474292,0.916769611,1.212172461,0.756890677,0.577458602,0.573909608,0.550379927,1.101305753,1.072874258,0.875854363,1.648399154,0.894810973,0.923790931,1.060961033,0,0,0
35,1.050006257,0.751293149,0.698151644,1.172807254,1.632875635,1.246188143,1.398490118,0.875918467,1.096698734,1.585396875,0.700603772,1.380210963,0.724387899,1.179091676,1.20079151,0.794936234,0.690321254,0.621036799,0.677926111,0.900346181,1.076326811,1.086558248,0.875341508,0.755443289,0.694265372,0.791771303,1.161645477,0.66636153,0.53803218,0.625158675,0.993588673,1.204287133,1.002562814,1.111186395,1.195886554,0.808196047,0.737165755,1.864857292,0.86838599,1.160692089,0.698768068,0.522232583,0.519724006,0.496047929,1.068032042,1.029077616,0.82483804,1.582203999,0.848038778,0.86216637,1.012661328,0,0,0
36,1.121021135,0.804916412,0.752316234,1.249177976,1.684796108,1.318745791,1.447936661,0.941007134,1.165648973,1.691064099,0.756251457,1.460144867,0.77773178,1.262746405,1.264622147,0.847329497,0.744487378,0.676754363,0.734289662,0.983770632,1.150783712,1.167428141,0.953190591,0.831898915,0.74864676,0.845703629,1.239413727,0.722814727,0.595389953,0.679094823,1.069890736,1.271904665,1.065723078,1.187655574,1.268675976,0.858807168,0.791595108,1.908666941,0.941910084,1.2331578,0.755034897,0.578128075,0.579296876,0.555737101,1.148594805,1.111343772,0.89905388,1.630967367,0.922627934,0.915020159,1.080365786,0,0,0
37,1.070574702,0.740388516,0.688179191,1.197879036,1.618262114,1.262701848,1.36466414,0.885182704,1.103034905,1.66772269,0.693267451,1.412880519,0.715091713,1.21582777,1.197963629,0.783881762,0.682628317,0.614122415,0.67288763,0.933587155,1.093408541,1.117164031,0.9033839,0.779325378,0.687451796,0.781269423,1.188532537,0.660616279,0.537078028,0.617026757,1.013827674,1.203149899,1.005760392,1.135228353,1.208278185,0.793151038,0.728002557,1.826061043,0.887545031,1.173846835,0.692424217,0.51762322,0.51999343,0.495901202,1.101368787,1.061273194,0.842283669,1.554590623,0.870286385,0.848991947,1.026020831,0,0,0
38,1.092514957,0.745873871,0.694292552,1.216225375,1.616949244,1.275985348,1.361460326,0.907172328,1.119254714,1.702149174,0.700814382,1.437965137,0.721627877,1.237307387,1.207190561,0.789003054,0.690191505,0.622024633,0.681600893,0.963487845,1.115173733,1.145098415,0.928057791,0.802232185,0.69506122,0.786899628,1.206815704,0.668686833,0.547920647,0.624588788,1.037491417,1.214684865,1.018356911,1.15102805,1.227269871,0.796337496,0.734582889,1.816743802,0.908932916,1.192298997,0.699993522,0.526641789,0.530632943,0.506824176,1.124247714,1.090755978,0.863514484,1.552337044,0.892659967,0.853069962,1.042328956,0,0,0
39,1.008403001,0.648949233,0.599073021,1.126682738,1.514295255,1.180721229,1.250216779,0.827288096,1.027787873,1.628534462,0.606698397,1.354469418,0.627017179,1.149802534,1.10887245,0.692895401,0.596594824,0.528505882,0.587717292,0.883852548,1.028518406,1.06424465,0.84603139,0.718703957,0.601135478,0.690633292,1.116860928,0.575134173,0.457411898,0.53121448,0.952587647,1.116744121,0.926329842,1.05803734,1.137103096,0.698590445,0.63904231,1.69990818,0.823901018,1.10189623,0.606061756,0.435420447,0.439306241,0.416100218,1.039766172,1.011676735,0.776026091,1.443741513,0.808225991,0.755580156,0.951407166,0,0,0
40,1.05512576,0.681955321,0.633575345,1.164665934,1.53917109,1.213200077,1.272776772,0.878557593,1.068842184,1.674229276,0.642423994,1.400400562,0.662185854,1.188289116,1.141859373,0.726514752,0.632989887,0.564865188,0.623783993,0.936975879,1.074515477,1.115483134,0.894551483,0.765904414,0.637081571,0.72404869,1.154231821,0.611346553,0.496850964,0.567871917,1.000474112,1.151756285,0.964252737,1.091818788,1.179614087,0.730325986,0.673372537,1.714879596,0.86994414,1.143693597,0.641741963,0.473991109,0.477567651,0.455060194,1.083394488,1.06501915,0.820700638,1.467353177,0.854589642,0.787752079,0.990401077,0,0,0
