REFERENCE POOL ID,LOAN ID,ltv,ltv_95,NUMBER OF BORROWERS,cnt_borr_1,cnt_borr_2,dti,fico,fico_640,FIRST TIME HOME BUYER INDICATOR,flag_fthb_y,LOAN PURPOSE,loan_purpose_p,PROPERTY TYPE,prop_type_SF,prop_type_CO,NUMBER OF UNITS,numunt_2,OCCUPANCY TYPE,occpy_sts_i,occpy_sts_s,ORIGINATION CHANNEL,channel_C,New_Int_rt,ORIGINAL UPB,rel_median_orig_UPB,rel_orig_upb_2,Act_endg_upb,st,change_unemp,relative_unem,,,,,,,,
5083,91182118,74,0,1,1,0,23.57,812,172,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.5,136000,61.26126126,0,135000,WI,0.01,0.02,,,,,,,,
5083,91182119,66,0,1,1,0,49.75,813,173,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,3.875,198000,89.18918919,0,197000,PR,0.01,0.02,,,,,,,,
5083,91182120,80,0,1,1,0,21.31,701,61,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.5,296000,133.3333333,0,294000,ID,0.01,0.02,,,,,,,,
5083,91182121,80,0,1,1,0,33.88,795,155,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,R,0,5.875,57000,25.67567568,0,57000,TN,0.01,0.02,,,,,,,,
5083,91182122,78,0,2,0,1,41.67,778,138,N,0,PURCHASE,1,PUD,0,0,1,0,Second,0,1,C,1,4.25,300000,135.1351351,0,298000,FL,0.01,0.02,,,,,,,,
5083,91182123,65,0,2,0,1,48.56,699,59,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,5,100000,45.04504505,0,99024.64,FL,0.01,0.02,,,,,,,,
5083,91182124,80,0,1,1,0,44.15,770,130,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,3.875,444000,200,0,442000,SC,0.01,0.02,,,,,,,,
5083,91182125,80,0,2,0,1,24.37,780,140,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.25,372000,167.5675676,0,368000,WA,0.01,0.02,,,,,,,,
5083,91182126,65,0,1,1,0,42.18,757,117,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.125,498000,224.3243243,24.32432432,493000,CA,0.01,0.02,,,,,,,,
5083,91182127,66,0,1,1,0,43.85,721,81,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.75,178000,80.18018018,0,176000,UT,0.01,0.02,,,,,,,,
5083,91182128,80,0,2,0,1,36.3,756,116,Y,1,PURCHASE,1,MH,0,0,1,0,Principal,0,0,R,0,4.95,228000,102.7027027,0,227000,OR,0.01,0.02,,,,,,,,
5083,91182129,80,0,1,1,0,37.78,757,117,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,B,0,5.375,148000,66.66666667,0,147000,AZ,0.01,0.02,,,,,,,,
5083,91182130,75,0,2,0,1,36.07,765,125,N,0,NO CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.25,373000,168.018018,0,370000,TN,0.01,0.02,,,,,,,,
5083,91182131,80,0,2,0,1,34.96,783,143,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,3.875,158000,71.17117117,0,156000,ID,0.01,0.02,,,,,,,,
5083,91182132,77,0,2,0,1,42,763,123,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,3.875,237000,106.7567568,0,234000,CO,0.01,0.02,,,,,,,,
5083,91182133,80,0,1,1,0,36.7,716,76,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,4.875,282000,127.027027,0,281000,FL,0.01,0.02,,,,,,,,
5083,91182134,69,0,2,0,1,24.9,740,100,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,3.99,360000,162.1621622,0,358000,KY,0.01,0.02,,,,,,,,
5083,91182135,80,0,2,0,1,33.37,742,102,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.25,245000,110.3603604,0,243000,UT,0.01,0.02,,,,,,,,
5083,91182136,80,0,2,0,1,36.19,761,121,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.125,117000,52.7027027,0,117000,IL,0.01,0.02,,,,,,,,
5083,91182137,80,0,2,0,1,33.29,676,36,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.875,60000,27.02702703,0,60000,GA,0.01,0.02,,,,,,,,
5083,91182138,80,0,2,0,1,48.8,733,93,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.75,242000,109.009009,0,241000,MO,0.01,0.02,,,,,,,,
5083,91182139,80,0,1,1,0,49.09,741,101,N,0,PURCHASE,1,Condo,0,1,1,0,Principal,0,0,R,0,4.375,82000,36.93693694,0,82000,FL,0.01,0.02,,,,,,,,
5083,91182140,80,0,2,0,1,33.96,683,43,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.5,324000,145.9459459,0,321000,CO,0.01,0.02,,,,,,,,
5083,91182141,61,0,1,1,0,28.15,640,0,N,0,NO CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,B,0,4.25,151000,68.01801802,0,150000,GA,0.01,0.02,,,,,,,,
5083,91182142,68,0,1,1,0,29.31,790,150,N,0,CASH-OUT REFINANCE,0,Condo,0,1,1,0,Principal,0,0,R,0,4.375,212000,95.4954955,0,210000,DC,0.01,0.02,,,,,,,,
5083,91182143,79,0,1,1,0,39.87,797,157,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,C,1,4,336000,151.3513514,0,333000,ND,0.01,0.02,,,,,,,,
5083,91182144,78,0,2,0,1,40.44,781,141,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,C,1,4.25,340000,153.1531532,0,338000,CO,0.01,0.02,,,,,,,,
5083,91182145,64,0,1,1,0,30.32,793,153,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.375,80000,36.03603604,0,79000,VT,0.01,0.02,,,,,,,,
5083,91182146,80,0,2,0,1,49.56,740,100,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.125,276000,124.3243243,0,273000,OH,0.01,0.02,,,,,,,,
5083,91182147,63,0,2,0,1,27.72,792,152,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Investor,1,0,C,1,4.875,172000,77.47747748,0,170000,AZ,0.01,0.02,,,,,,,,
5083,91182148,80,0,2,0,1,30.3,734,94,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.375,56000,25.22522523,0,56000,WI,0.01,0.02,,,,,,,,
5083,91182149,68,0,1,1,0,39.85,743,103,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.5,414000,186.4864865,0,412000,WA,0.01,0.02,,,,,,,,
5083,91182150,80,0,1,1,0,34.32,804,164,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,3.875,178000,80.18018018,0,176000,TN,0.01,0.02,,,,,,,,
5083,91182151,69,0,1,1,0,34.54,807,167,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.125,210000,94.59459459,0,205000,OR,0.01,0.02,,,,,,,,
5083,91182152,78,0,1,1,0,29.58,767,127,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.5,350000,157.6576577,0,348000,CO,0.01,0.02,,,,,,,,
5083,91182153,80,0,2,0,1,38.97,664,24,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.5,150000,67.56756757,0,149000,MS,0.01,0.02,,,,,,,,
5083,91182154,75,0,1,1,0,47.58,799,159,N,0,PURCHASE,1,SF,1,0,2,1,Investor,1,0,R,0,4.875,326000,146.8468468,0,324000,UT,0.01,0.02,,,,,,,,
5083,91182155,73,0,2,0,1,45.58,698,58,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.625,261000,117.5675676,0,259000,FL,0.01,0.02,,,,,,,,
5083,91182156,80,0,3,0,0,44.84,678,38,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.75,645000,290.5405405,90.54054054,643000,DC,0.01,0.02,,,,,,,,
5083,91182157,75,0,2,0,1,34.81,668,28,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.5,452000,203.6036036,3.603603604,450000,NJ,0.01,0.02,,,,,,,,
5083,91182158,70,0,2,0,1,18.1,758,118,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.5,453000,204.0540541,4.054054054,450000,FL,0.01,0.02,,,,,,,,
5083,91182159,80,0,1,1,0,24.63,646,6,N,0,PURCHASE,1,SF,1,0,1,0,Second,0,1,B,0,5.25,180000,81.08108108,0,179000,FL,0.01,0.02,,,,,,,,
5083,91182160,80,0,2,0,1,40.98,781,141,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,C,1,4.875,105000,47.2972973,0,104000,TX,0.01,0.02,,,,,,,,
5083,91182161,80,0,1,1,0,46.96,804,164,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.25,350000,157.6576577,0,349000,AZ,0.01,0.02,,,,,,,,
5083,91182162,78,0,1,1,0,38.04,724,84,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.75,282000,127.027027,0,281000,WA,0.01,0.02,,,,,,,,
5083,91182163,75,0,1,1,0,30.47,818,178,N,0,PURCHASE,1,Condo,0,1,1,0,Investor,1,0,C,1,4.75,60000,27.02702703,0,59000,FL,0.01,0.02,,,,,,,,
5083,91182164,80,0,1,1,0,25.35,693,53,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.625,110000,49.54954955,0,109000,CO,0.01,0.02,,,,,,,,
5083,91182165,80,0,1,1,0,45.65,786,146,Y,1,PURCHASE,1,Condo,0,1,1,0,Principal,0,0,R,0,3.875,304000,136.9369369,0,301000,NY,0.01,0.02,,,,,,,,
5083,91182166,80,0,1,1,0,42.81,781,141,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.25,150000,67.56756757,0,149000,OR,0.01,0.02,,,,,,,,
5083,91182167,68,0,2,0,1,34.55,791,151,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.125,474000,213.5135135,13.51351351,472000,CA,0.01,0.02,,,,,,,,
5083,91182168,77,0,2,0,1,47.73,700,60,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,5.375,320000,144.1441441,0,319000,TX,0.01,0.02,,,,,,,,
5083,91182169,78,0,2,0,1,38.65,706,66,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,5.125,334000,150.4504505,0,333000,NJ,0.01,0.02,,,,,,,,
5083,91182170,75,0,1,1,0,12.51,744,104,N,0,PURCHASE,1,SF,1,0,3,0,Investor,1,0,R,0,5.5,98000,44.14414414,0,98000,WI,0.01,0.02,,,,,,,,
5083,91182171,72,0,1,1,0,40.76,750,110,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,5.125,120000,54.05405405,0,119000,TX,0.01,0.02,,,,,,,,
5083,91182172,69,0,2,0,1,17.04,782,142,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,3.875,420000,189.1891892,0,263000,CO,0.01,0.02,,,,,,,,
5083,91182173,66,0,1,1,0,29.33,640,0,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.25,125000,56.30630631,0,124000,IA,0.01,0.02,,,,,,,,
5083,91182174,74,0,1,1,0,37.87,720,80,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.625,244000,109.9099099,0,243000,CA,0.01,0.02,,,,,,,,
5083,91182175,80,0,1,1,0,24.77,743,103,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.625,274000,123.4234234,0,272000,TX,0.01,0.02,,,,,,,,
5083,91182176,75,0,2,0,1,22.9,813,173,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,3.75,299000,134.6846847,0,296000,NY,0.01,0.02,,,,,,,,
5083,91182177,74,0,2,0,1,30.25,687,47,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.75,246000,110.8108108,0,245000,MA,0.01,0.02,,,,,,,,
5083,91182178,80,0,1,1,0,37.62,665,25,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.75,272000,122.5225225,0,270000,MA,0.01,0.02,,,,,,,,
5083,91182179,80,0,2,0,1,24.51,801,161,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.375,100000,45.04504505,0,99000,OR,0.01,0.02,,,,,,,,
5083,91182180,80,0,2,0,1,37.43,801,161,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,C,1,5.375,76000,34.23423423,0,76000,FL,0.01,0.02,,,,,,,,
5083,91182181,62,0,1,1,0,41.85,733,93,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.375,325000,146.3963964,0,323000,VA,0.01,0.02,,,,,,,,
5083,91182182,80,0,1,1,0,48.93,754,114,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,4.99,408000,183.7837838,0,407000,CA,0.01,0.02,,,,,,,,
5083,91182183,80,0,1,1,0,48.27,785,145,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,C,1,4.25,512000,230.6306306,30.63063063,507000,CA,0.01,0.02,,,,,,,,
5083,91182184,75,0,1,1,0,26.89,781,141,Y,1,PURCHASE,1,Condo,0,1,1,0,Principal,0,0,C,1,4,110000,49.54954955,0,109000,IL,0.01,0.02,,,,,,,,
5083,91182185,75,0,2,0,1,49.6,801,161,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Investor,1,0,C,1,5,72000,32.43243243,0,72000,OH,0.01,0.02,,,,,,,,
5083,91182186,80,0,1,1,0,45.23,774,134,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4.125,96000,43.24324324,0,95000,PA,0.01,0.02,,,,,,,,
5083,91182187,80,0,2,0,1,28.59,803,163,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.25,120000,54.05405405,0,119000,FL,0.01,0.02,,,,,,,,
5083,91182188,80,0,2,0,1,39.71,731,91,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.5,140000,63.06306306,0,139000,GA,0.01,0.02,,,,,,,,
5083,91182189,75,0,1,1,0,26.46,803,163,N,0,PURCHASE,1,SF,1,0,4,0,Investor,1,0,R,0,4.875,150000,67.56756757,0,149000,TX,0.01,0.02,,,,,,,,
5083,91182190,80,0,2,0,1,30.6,705,65,Y,1,PURCHASE,1,Condo,0,1,1,0,Principal,0,0,R,0,4.875,128000,57.65765766,0,127000,AZ,0.01,0.02,,,,,,,,
5083,91182191,73,0,2,0,1,45.32,794,154,Y,1,PURCHASE,1,SF,1,0,1,0,Principal,0,0,C,1,4,130000,58.55855856,0,128000,TX,0.01,0.02,,,,,,,,
5083,91182192,75,0,1,1,0,47.03,782,142,N,0,PURCHASE,1,SF,1,0,3,0,Investor,1,0,C,1,4.5,233000,104.954955,0,231000,NJ,0.01,0.02,,,,,,,,
5083,91182193,80,0,1,1,0,18.19,788,148,Y,1,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,C,1,4.625,192000,86.48648649,0,189000,MO,0.01,0.02,,,,,,,,
5083,91182194,80,0,1,1,0,33.96,716,76,N,0,PURCHASE,1,Condo,0,1,1,0,Second,0,1,R,0,4.625,233000,104.954955,0,232000,CO,0.01,0.02,,,,,,,,
5083,91182195,67,0,2,0,1,40.79,793,153,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Investor,1,0,R,0,4.75,84000,37.83783784,0,83000,PA,0.01,0.02,,,,,,,,
5083,91182196,78,0,2,0,1,34.79,671,31,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.625,161000,72.52252252,0,160000,OK,0.01,0.02,,,,,,,,
5083,91182197,67,0,1,1,0,30.45,737,97,N,0,CASH-OUT REFINANCE,0,SF,1,0,3,0,Investor,1,0,B,0,5.625,254000,114.4144144,0,253000,MA,0.01,0.02,,,,,,,,
5083,91182198,80,0,1,1,0,29.15,665,25,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.375,57000,25.67567568,0,56000,TX,0.01,0.02,,,,,,,,
5083,91182199,79,0,1,1,0,27.04,639,0,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,5.125,588000,264.8648649,64.86486486,586000,CA,0.01,0.02,,,,,,,,
5083,91182200,80,0,1,1,0,39.67,729,89,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,B,0,4,152000,68.46846847,0,151000,OH,0.01,0.02,,,,,,,,
